	Heater Time	Heater 6 	Heater 7	Heater 8	Heater 9	Heater 10	Heater 11	Heater 12	Heater 13	Heater 14	Heater 15	Heater 16	Heater 17	Program Time	MFC 1	MFC Time	Cycles Remaining	Recipe	Loop
	100.3	200.0	199.6	200.0	199.7	36.1	57.0	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766064.8	19.891	102.091	185	Thermal Al2O3 STANDARD	
	104.3	200.0	199.6	200.0	199.7	36.1	57.0	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766067.8	19.922	105.091	185	Thermal Al2O3 STANDARD	
	106.3	200.0	199.6	200.0	199.7	36.1	56.9	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766070.8	19.861	108.091	185	Thermal Al2O3 STANDARD	
	110.3	200.0	199.5	200.0	199.8	36.1	56.9	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766073.8	19.916	111.090	185	Thermal Al2O3 STANDARD	
	112.3	200.0	199.5	200.1	199.8	36.1	56.9	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766076.8	19.934	114.091	185	Thermal Al2O3 STANDARD	
	116.3	200.0	199.4	200.0	199.7	36.1	56.8	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766079.8	19.922	117.091	185	Thermal Al2O3 STANDARD	
	118.3	199.9	199.5	200.0	199.7	36.1	56.8	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766082.8	19.897	120.091	185	Thermal Al2O3 STANDARD	
	122.3	199.9	199.5	200.0	199.7	36.1	56.8	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766085.8	19.855	123.091	185	Thermal Al2O3 STANDARD	
	124.3	200.0	199.4	200.0	199.7	36.1	56.8	27.6	 0.0	 0.0	28.1	 0.0	 0.0	766088.8	19.946	126.090	185	Thermal Al2O3 STANDARD	
	128.3	199.9	199.4	200.0	199.7	36.1	56.8	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766091.8	19.879	129.090	185	Thermal Al2O3 STANDARD	
	130.3	200.0	199.4	200.0	199.7	36.1	56.7	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766094.8	19.916	132.091	185	Thermal Al2O3 STANDARD	
	134.3	200.0	199.4	200.0	199.7	36.1	56.7	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766097.8	19.879	135.091	185	Thermal Al2O3 STANDARD	
	136.3	200.0	199.3	200.0	199.7	36.1	56.7	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766100.8	19.928	138.091	185	Thermal Al2O3 STANDARD	
	140.3	200.2	199.6	200.2	199.9	36.1	56.7	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766103.8	19.885	141.091	185	Thermal Al2O3 STANDARD	
	142.3	200.0	199.4	200.0	199.8	36.1	56.6	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766106.8	19.922	144.090	185	Thermal Al2O3 STANDARD	
	146.3	199.9	199.3	200.0	199.8	36.1	56.6	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766109.8	19.885	147.090	185	Thermal Al2O3 STANDARD	
	148.3	200.2	199.5	200.1	199.8	36.2	56.6	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766112.8	19.922	150.091	185	Thermal Al2O3 STANDARD	
	152.3	200.0	199.3	200.0	199.7	36.1	56.5	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766115.8	19.922	153.091	185	Thermal Al2O3 STANDARD	
	154.3	200.0	199.3	200.0	199.7	36.1	56.5	27.6	 0.0	 0.0	28.2	 0.0	 0.0	766118.8	19.910	156.091	185	Thermal Al2O3 STANDARD	
